Jahr;Wasserkraft;Biomasse;Kernenergie;Braunkohle;Steinkohle;Oel;Gas;Andere;Pumpspeicher;Wind;Solar
2002;23.124;4.13;156.287;140.544;111.427;1.755;39.983;9.713;0;16.102;0.162
2003;18.322;6.746;156.456;141.726;121.831;2.035;44.974;10.359;0;19.087;0.313
2004;20.745;8.385;158.378;142.136;116.64;1.874;44.882;10.581;0;26.019;0.557
2005;19.638;11.61;154.612;138.205;112.973;2.401;52.31;12.261;0;27.774;1.282
2006;20.031;15.224;158.711;135.087;116.47;2.086;54.958;12.486;0;31.324;2.22
2007;21.17;20.212;133.229;138.565;119.131;2.234;56.257;12.59;0;40.507;3.075
2008;20.443;23.43;140.71;134.498;105.714;2.211;66.937;12.987;0;41.385;4.42
2009;19.031;28.784;127.69;130.992;91.654;2.492;57.599;4.51;0;39.42;6.583
2010;20.953;31.325;132.971;130.429;99.706;2.544;63.091;4.98;0;38.547;11.729
2011;17.671;34.062;102.241;134.056;96.499;1.638;59.761;4.532;0;49.857;19.599
2012;21.211;39.952;94.18;141.868;105.83;2.153;49.868;4.831;0;51.68;26.38
2013;22.845;41.043;92.127;145.122;110.724;0.988;39.584;6.015;0;52.737;31.01
2014;19.41;42.641;91.8;140.791;107.734;0.872;31.122;4.837;0;58.497;36.056
2015;18.812;44.151;86.765;139.371;106.208;0.904;30.123;2.767;9.077;80.624;38.726
2016;20.66;44.681;80.038;134.886;99.765;1.055;46.503;2.692;8.986;79.924;38.098
2017;20.079;44.792;72.155;133.983;81.724;1.041;48.956;1.983;9.247;105.693;39.401
2018;17.141;45.805;71.866;131.498;72.406;0.782;44.533;2.83;10.058;109.951;45.784
2019;20.137;43.71;70.992;101.924;49.503;0.745;52.9;2.608;8.953;125.894;46.392
2020;18.402;47.148;60.917;82.128;35.591;0.59;56.767;2.608;10.57;131.851;51.419
2021;4.767;15.656;21.456;31.456;15.413;0.454;25.862;0.923;3.117;43.643;13.109